,Contracted with VSS? (1=yes; 2=no),Facility level (Trung ương=central; tỉnh=provincial; huyện=district),Facility name-VN,Name_English,Facility type-VN,Type_name,Sectoral (1:health sector; 2:other sector;3:private sector),address,longitude,latitude,phone,hyperlink,pro_name_e,dist_name_e
0,1,tỉnh,Bệnh viện đa khoa Xanh Pôn,Saint Paul Municipal General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"12 Chu Văn An, Phường Điện Biên, Quận Ba Đình, Hà Nội",105.83558566,21.03161003,967711616,,Ha Noi,Ba Dinh District
1,1,,Bệnh viện Hữu nghị Việt Đức (CS1 Hà Nội),Viet Duc (University) Hospital (CS1,bệnh viện chuyên khoa trung ương,Central specialized hospital,1.0,"40 Tràng Thi, P. Hàng Bông, Q. Hoàn Kiếm, Hà Nội",105.84535321,21.029563144,(024) 3825 3531 ,http://www.vietduchospital.edu.vn/; http://benhvienvietduc.org/,Ha Noi,Hoan Kiem District
2,1,tỉnh,Bệnh viện Tim Hà Nội (CS1),Hanoi Municipal Heart Hospital (CS1),bệnh viện chuyên khoa tỉnh,Provincial specialized hospital,1.0,"92 Trần Hưng Đạo, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội",105.84387402,21.02356993,(024) 3944 9292,,Ha Noi,Hoan Kiem District
3,1,tỉnh,Bệnh viện đa khoa Đức Giang,Duc Giang General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"54 Trường Lam, Phường Đức Giang, Quận Long Biên, Hà Nội",105.89809387,21.06169741,966381616,,Ha Noi,Long Bien District
4,1,trung ương,Bệnh viện E ,E Hospital ,bệnh viện đa khoa trung ương,Central general hospital,1.0,"89 Trần Cung, Nghĩa Tân, Cau Giấy, Hà Nội, Vietnam",105.78975515,21.05056568,(024) 3754 3650,http://www.ehospital.vn/,Ha Noi,Cau Giay District
5,1,trung ương,Bệnh viện Bạch Mai (CS1),Bach Mai Hospital,bệnh viện đa khoa trung ương,Central general hospital,1.0,"78 Đường Giải Phóng, Phuong Mai, Đống Da, Hà Nội",105.84098941,21.00242559,(024) 3868 6074,http://bachmai.gov.vn/,Ha Noi,Dong Da District
6,1,,Bệnh viện Đại học Y Hà Nội,Hanoi Medical University Hospital,bệnh viện đại học/học viện/cao đẳng,University/academy/college hospital,1.0,"1 Tôn Thất Tùng, Tôn Thất Tùng, Phường Trung Tự, Quận Đống Da, Hà Nội",105.82989159,21.00244217,(024) 6291 3575,www.benhviendhyhanoi.com.vn,Ha Noi,Dong Da District
7,1,,Bệnh viện Lão khoa Trung ương,National Geriatric Hospital,bệnh viện chuyên khoa trung ương,Central specialized hospital,1.0,"Số 1A, Phuong Mai, Đống Da, Hà Nội",105.837654864,21.004657682,(024) 3576 0750,http://benhvienlaokhoa.vn/,Ha Noi,Dong Da District
8,1,tỉnh,Bệnh viện Thanh Nhàn Hà Nội (Tiền thân là BV Đa khoa Hai Bà Trưng),Hanoi Thanh Nhan Municipal Hospital (formerly Hai Ba Trung Hospital),bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"42 Thanh Nhan, Thanh Nhan, Phường Thanh Nhan, Quận Hai Bà Trưng, Hà Nội",105.8588615,21.00289623,(024) 3971 4373,,Ha Noi,Hai Ba Trung District
9,1,trung ương,Bệnh viện Trung ương Quân đội 108,108 Military Central Hospital,bệnh viện đa khoa ngành,Sectoral general hospital ,2.0,"Số 1 Trần Hưng Đạo, Hai Bà Trưng, Hà Nội",105.86122544,21.01724158,69572400,http://benhvien108.vn/,Ha Noi,Hai Ba Trung District
10,1,trung ương,Bệnh viện Hữu Nghị (tại Hà Nội),Friendship Hospital (Central),bệnh viện đa khoa trung ương,Central general hospital,1.0,"Số 1 Trần Khánh Dư, Hai Bà Trưng, Hà Nội",105.8619994,21.01510803,(024) 3972 2231,http://huunghihospital.vn/,Ha Noi,Hai Ba Trung District
11,1,tỉnh,Bệnh viện đa khoa quốc tế Vinmec (CS Times City),Vinmec International General Hospital-Times City,bệnh viện đa khoa tư nhân,Private general hospital,3.0,"458 Minh Khai, Minh Khai, Phường Vinh Tuy, Quận Hai Bà Trưng, Hà Nội",105.866392348,20.996305843,(024) 3974 3556,https://www.vinmec.com/vi/,Ha Noi,Hai Ba Trung District
12,1,trung ương,Bệnh viện Quận y 103,103 Military Hospital,bệnh viện đa khoa ngành,Sectoral general hospital ,2.0,"261 Phùng Hưng, Ha Dong, Hà Nội",105.79011042,20.9668745,(024) 3356 6713,http://www.benhvien103.vn/,Ha Noi,Ha Dong District
13,1,trung ương,Bệnh viện Quận y 105,105 Military Hospital,bệnh viện đa khoa ngành,Sectoral general hospital ,2.0,"Chùa Thông, Quoc lộ 21, Phường Sơn Lộc, Thị xã Sơn Tây, Hà Nội",105.49640535,21.11691292,(024) 3250 5046 ,http://benhvienquany105.vn/,Ha Noi,Son Tay Town
14,1,tỉnh,Bệnh viện đa khoa tỉnh Lào Cai  (sáp nhập 2 bệnh viện Đa khoa số I và Đa khoa số II của tỉnh),Lao Cai Provincial General Hospital (merged Lao Cai General Hospitals 1 and 2),bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Đường Chiềng On ( B8 ) - P.Bình Minh - TP.Lào CaiHàm Nghi, Phường Kim Tân, thành phố Lào Cai, Lào Cai",104.031531,22.437161,969831414,https://bvdklaocai.vn/,Lao Cai,Lao Cai City
15,1,tỉnh,Bệnh viện đa khoa tỉnh Yên Bái,Yen Bai Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Yen Ninh, Yen Ninh, Phường Minh Tân, thành phố Yen Bái, Yen Bái",104.893304588,21.726583589,(0216) 3852459,,Yen Bai,Yen Bai City
16,1,tỉnh,Bệnh viện đa khoa Tỉnh Hòa Bình,Hoa Binh Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Tổ 27, Cù Chính Lan, Phường Đồng Tiến, thành phố Hoa Binh, Hoa Binh",105.35352056,20.826634,(0218) 3896546,http://hoabinhhospital.org.vn/,Hoa Binh,Hoa Binh City
17,1,trung ương,Bệnh viện Da khoa Trung ương Thái Nguyên,Thai Nguyen Central General Hospital,bệnh viện đa khoa trung ương,Central general hospital,1.0,"479 Lương Ngọc Quyến, Phan Đình Phùng, tp. Thai NguYen, Thai NguYen",105.82981776,21.58786302,(0208) 3855125,http://www.bvdktuthainguyen.gov.vn/,Thái Nguyên,Thai Nguyen City
18,1,tỉnh,Bệnh viện C Thái Nguyên,Thai Nguyen Provincial C Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Số 595 đường Trần Hưng Đạo, Phường Phố Cò, TP Sông cong, Thai NguYen",105.860896,21.446729,(0208) 3861308,,Thái Nguyên,Song Cong City
19,1,tỉnh,Bệnh viện đa khoa Tỉnh Lạng Sơn,Lang Son Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0," thôn Đại Sơn - xã Hợp Thành - huyện Cao Lộc - tỉnh Lạng Sơn  (cơ sở mới started operation 25 September, 2019; cơ sở cũ tại 76 Nhị Thanh, Nhị Thanh, Phường Tam Thanh, thành phố Lạng Sơn, Lạng Sơn)",106.758286,21.880991,963191515,,Lang Son,Cao Loc District
20,1,tỉnh,Bệnh viện đa khoa Tỉnh Quảng Ninh,Quang Ninh Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Tuệ Tĩnh, Phường Trần Hưng Đạo, thành phố Hạ Long, Quang  Ninh",107.087448735,20.953147999,(0203) 3825489,http://benhviendktinhquangninh.vn/,Quang Ninh,Ha Long City
21,1,tỉnh,Bệnh viện Việt Nam Thụy Điển Uông Bí,Uong Bi Vietnam Sweden Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Đường Tuệ Tĩnh, P. Thanh Sơn, TP. Uông Bí, Quang  Ninh",106.75225927,21.04108761,(0203) 3854037,http://www.vsh.org.vn/,Quang Ninh,Uong Bi City
22,1,huyện,Trung tâm y tế thị xã Quảng Yên (bv),Quang Yen Town Health Center,trung tâm y tế huyện,district health center,1.0,"Trần Hưng Đạo, Phường Quang  Yen, Thị xã Quang  Yen, Quang  Ninh",106.799965875,20.942582193,(0203) 3875 225,http://trungtamytequangyen.vn/,Quang Ninh,Quang Yen Town
23,1,tỉnh,Bệnh viện đa khoa tỉnh Bắc Giang,Bac Giang Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Le Lợi, Phường Le Lợi, thành phố Bắc Giang, Bắc Giang",106.19742086,21.27373759,(0204) 3854259,http://www.bvdktinhbacgiang.vn/,Bac Giang,Bac Giang
24,0,,Bệnh viện Quận y 110 Bac Giang,110 Military Hospital (Bac Giang),bệnh viện đa khoa ngành,Sectoral general hospital ,2.0,"7 Trần Lựu, Trần Lựu, Xã Dĩnh Trì, thành phố Bắc Giang, Bắc Giang",106.23737029,21.29026314,(0204) 3850788,,Bac Giang,Bac Giang City
25,1,tỉnh,Bệnh viện Đa khoa Tỉnh Phú Thọ,Phu Tho Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Châu Phong, Nguyen Tất Thành, Phường Gia Cẩm, thành phố Viet Trì, Phu Tho",105.39412468,21.3245723,(0210) 6278888,http://benhviendakhoatinhphutho.vn/,Phu Tho,Viet Tri City
26,1,tỉnh,Bệnh viện đa khoa tỉnh Vĩnh Phúc,Vinh Phuc Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Bà Triệu, Bà Triệu, Phường Liên Bảo, thành phố Vinh Yen, Vinh Phuc",105.600409399,21.318515862,(0211) 3861206,http://dakhoavinhphuc.com/,Vinh Phuc,Vinh Yen City
27,1,tỉnh,Bệnh viện Đa khoa Khu vực Phúc Yên (tỉnh Vĩnh Phúc),Phuc Yen Regional General Hospital ,bệnh viện đa khoa khu vực,regional general hospital,1.0,"Phường Hùng Vương, TP. Phúc Yên, Vĩnh Phúc",105.708509471,21.232559846,(0211) 3869223,,Vinh Phuc,Phuc Yen City
28,1,tỉnh,Bệnh viện đa khoa Tỉnh Hải Dương,Hai Duong Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"225 Nguyen Lương Bằng, Nguyen Lương Bằng, Phường Thanh Binh, thành phố Hải Dương, Hải Dương",106.307450881,20.934631654,(0220) 3890205,,Hai Duong,Hai Duong City
29,1,tỉnh,Bệnh viện Hữu Nghị Việt Tiệp (CS1),Viet Tiep Friendship Hospital (CS1),bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"1 Nhà Thương, Nhà Thương, Phường Cat Dài, Quận Le Chân, Hải Phong",106.671482625,20.852450728,(0225) 3700436,,Hai Phong,Le Chan District
30,1,tỉnh,Bệnh viện đa khoa Phố Nổi (Hưng Yên),Phoi Noi General Hospital (Provincial hospital),bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Phường Bần Yen Nhân, TX Mỹ Hào, Hưng Yen",106.05681477,20.93961775,(0221) 3767666,http://benhviendakhoaphonoi.com.vn/,Hung Yen,My Hoa Town
31,1,tỉnh,Bệnh viện đa khoa Tỉnh Thái Bình,Thai Binh Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"530 Lý Bôn, Lý Bôn, Phường Quang Trung, thành phố Thai Binh, Thai Binh",106.33872549,20.44190954,(0227) 3834281,http://bvdktinhthaibinh.vn/Portal/,Thai Binh,Thai Binh City
32,1,tỉnh,Bệnh viện đa khoa Tỉnh Hà Nam,Ha Nam Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Trường Chinh, Trường Chinh, Phường Minh Khai, thành phố Phủ Lý, Hà Nam",105.917046341,20.540883622,(0226) 3851228,http://benhvienhanam.vn/,Ha Nam,Phu Ly City
33,1,tỉnh,Bệnh viện đa khoa tỉnh Nam Định,Nam Dinh Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"2 Trần Quoc Toản, Trần Quoc Toản, Phường Ngô Quyền, thành phố Nam Định, Nam Định",106.17240717,20.42589094,(0228) 3849223,,Nam Dinh,Nam Dinh City
34,1,tỉnh,Bệnh viện đa khoa Tỉnh Ninh Bình,Ninh Binh Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"Tuệ Tĩnh, Phường Nam Thành, thành phố Ninh Binh, Ninh Binh",105.96606426,20.24557175,(0229) 3871030,http://benhviendakhoaninhbinh.com.vn/,Ninh Binh,Ninh Binh City
35,1,tỉnh,Bệnh viện đa khoa Tỉnh Thanh Hóa,"Thanh Hoa Provincial General Hospital
",bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"181 Hải Thượng Lãn Ông, Hải Thượng Lãn Ông, Phường Dong Vệ, thành phố Thanh Hóa, Thanh Hóa",105.771286909,19.776166796,(0237) 3951467,,Thanh Hoa,Thanh Hoa City
36,1,tỉnh,Bệnh viện đa khoa Hợp Lực ,Hop Luc General Hospital,bệnh viện đa khoa tư nhân,Private general hospital,3.0,"595 Nguyen Chí Thanh,  Phường Đông Thọ, thành phố Thanh Hóa, Thanh Hóa",105.77796321,19.8279373,(0237) 3713713,,Thanh Hoa,Thanh Hoa City
37,1,tỉnh,Bệnh viện Hữu nghị Đa khoa Tỉnh Nghệ An,Nghe An Friendship Hospital (provincial general),bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"138 Nguyen Phong Sắc, Nguyen Phong Sắc, Phường Hưng Dũng, thành phố Vinh, Nghệ An",105.700738253,18.685254116,(0238) 3844528,http://www.bvnghean.vn/home,Nghe An,Vinh City
38,1,tỉnh,Bệnh viện đa khoa Tỉnh Hà Tĩnh,Ha Tinh Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"75 Hải Thượng Lãn Ông, Hải Thượng Lãn Ông, Phường Bắc Hà, thành phố Hà Tĩnh, Hà Tĩnh",105.895482748,18.343638515,(0239) 3855569,http://www.bvdkht.vn/,Ha Tinh,Ha Tinh City
39,1,trung ương,Bệnh viện Hữu nghị Việt Nam Cu Ba Đồng Hới,Dong Hoi Vietnam-Cuba Friendship Hospital,bệnh viện đa khoa trung ương,Central general hospital,1.0,"Tiểu khu 10, Đường Hữu Nghị, P. Nam Lý, TP. Đồng Hới, Quang Binh",106.60247056,17.47418292,(0232) 3825 105,http://bvvietnamcubadonghoi.vn/,Quang Binh,Dong Hoi City
40,1,tỉnh,Bệnh viện đa khoa Tỉnh Quảng Trị,Quang Tri Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"83 Le Lợi,Le Lợi, Phường 5, thành phố Dong Hà, Quang  Trị",107.10871737,16.81044915,965331313,http://quangtrihospital.vn/,Quang Tri,Dong Ha City
41,1,trung ương,Bệnh viện đa khoa Trung ương Huế,Hue Central Hospital,bệnh viện đa khoa trung ương,Central general hospital ,1.0,"16 Le Lợi, TP. Huế",107.585878,16.463088,(0234) 3822325,http://www.bvtwhue.com.vn/,Thua Thien Hue,Hue City
42,1,tỉnh,Bệnh viện Đà Nẵng (BV đa khoa thành phố),Da Nang Hospital (Municipal General),bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"124 Hải Phong, Hải Phong, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",108.215466399,16.072942064,(0236) 3821118,http://dananghospital.org.vn/,Da Nang,Hai Chau District
43,1,trung ương,Bệnh viện C Đà Nẵng,Da Nang C Hospital,bệnh viện đa khoa trung ương,Central general hospital ,1.0,"122 Hải Phòng, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",108.216767206,16.073089565,(0236) 3821480,http://bvcdn.org.vn/,Da Nang,Hai Chau District
44,1,tỉnh,Bệnh viện đa khoa Tỉnh Quảng  Nam,Quang Nam Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"1 Nguyen Du, Nguyen Du, Phường An Mỹ, thành phố Tam Kỳ, Quang  Nam",108.477805939,15.571669675,(0235) 3851429,http://bvdkquangnam.vn/,Quang Nam,Tam Ky City
45,1,huyện,Bệnh viện Đa khoa Khu vực Miền Núi Phía Bắc Quảng  Nam (Đại Lộc),Quang Nam Northern Mountainous Regional General Hospital,bệnh viện đa khoa khu vực,regional general hospital,1.0,"thị trấn Ái Nghĩa, huyện Đại Lộc, Quang  Nam",108.11729325,15.886035288,967921313,,Quang Nam,Dai Loc District
46,1,trung ương,Bệnh viện đa khoa Trung ương Quảng Nam,Quang Nam Central General Hospital,bệnh viện đa khoa trung ương,Central general hospital ,1.0,"Xã Tam Hiep, huyện Núi Thành, Quang  Nam",108.62433934,15.44424533,(0235)3870390,http://www.bvtwqn.vn/,Quang Nam,Nui Thanh District
47,1,tỉnh,Bệnh viện đa khoa tỉnh Bình Định (CS1),Binh Dinh provincial General Hospital (CS1),bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"106 Nguyen Huệ, Phường Trần Phú, thành phố Quy Nhơn, Binh Định",109.22625735,13.76695363,(0256) 3822330,http://binhdinhhospital.vn/,Binh Dinh,Quy Nhon City
48,1,tỉnh,Bệnh viện đa khoa Tỉnh Phú Yên,Phu Yen Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"15 Nguyen Hữu Tho, Nguyen Hữu Tho, Phường 9, thành phố Tuy Hòa, Phú Yên",109.30012952,13.109102235,(0257) 3823219,http://benhvienphuyen.vn/,Phu Yen,Tuy Hòa City
49,1,tỉnh,Bệnh viện đa khoa Ninh Thuận,Ninh Thuan provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"5 Le Hong Phong, Le Hong Phong, Phường Mỹ Hương, thành phố Phan Rang-Tháp Chàm, Ninh Thuận",108.9896366,11.56542808,(0259) 3822661,http://benhvienninhthuan.vn/,Ninh Thuan,Phan Rang-Thap Cham City
50,1,tỉnh,Bệnh viện Đại học y Dược Hoàng Anh Gia Lai,Hoang Anh Gia Lai University Medical Center,bệnh viện đại học tư nhân,Private university hospital,3.0,238 – Lê Duẩn – TP. Pleiku – Gia Lai ,108.029564,13.971157,(0269) 2222 517,http://bvhagl.com.vn/,Gia Lai,Pleiku City
51,1,tỉnh,Bệnh viện Đa khoa Vùng Tây Nguyên (tên cũ-Bệnh viện đa khoa Tỉnh Đắk Lắk),Tay Nguyen Regional General Hospital (formerly Dak Lak Provincial General Hospital),bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"184 Trần Quý Cáp, Tự An, TP Buôn Ma Thuột, Đắk Lắk",108.055376,12.665205,(0262) 3919009,http://benhviendaklak.org.vn/,Dak Lak,Buon Ma Thuot (Ban Me Thuot) City
52,1,tỉnh,Bệnh viện đa khoa Tỉnh Lâm Đồng,Lam Dong Provincial General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1.0,"1 Phạm Ngọc Thạch, Phường 5, thành phố Đà Lạt, Lam Đồng",108.430614,11.945645,(0263) 3827528,http://www.lamdong.gov.vn/vi-VN/a/bvdk/Pages/default.aspx,Lam Dong,Da Lat City
